#ies_format_version: 1.0
#file: 20251209_11000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 7
#timestep_sec: 11.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	str1_cell1_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell1)
#005;	str1_cell1_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell1)
#006;	str1_cell1_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell1)
#007;	str1_cell2_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell2)
#008;	str1_cell2_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell2)
#009;	str1_cell2_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell2)
YYYYMMDD;	hhmmss;	unixtimestamp;	str1_cell1_R;	str1_cell1_V;	str1_cell1_T;	str1_cell2_R;	str1_cell2_V;	str1_cell2_T
20251209;	094058;	1765248058.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094109;	1765248069.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094120;	1765248080.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094131;	1765248091.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094142;	1765248102.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094153;	1765248113.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094204;	1765248124.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094215;	1765248135.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094226;	1765248146.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094237;	1765248157.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094248;	1765248168.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094259;	1765248179.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094310;	1765248190.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094321;	1765248201.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094332;	1765248212.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094343;	1765248223.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094354;	1765248234.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094405;	1765248245.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094416;	1765248256.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094427;	1765248267.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094438;	1765248278.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094449;	1765248289.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094500;	1765248300.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094511;	1765248311.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094522;	1765248322.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094533;	1765248333.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094544;	1765248344.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094555;	1765248355.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094606;	1765248366.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094617;	1765248377.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094628;	1765248388.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094639;	1765248399.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094650;	1765248410.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094701;	1765248421.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094712;	1765248432.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094723;	1765248443.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094734;	1765248454.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094745;	1765248465.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094756;	1765248476.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094807;	1765248487.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094818;	1765248498.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094829;	1765248509.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094840;	1765248520.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094851;	1765248531.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094902;	1765248542.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094913;	1765248553.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094924;	1765248564.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
